index,Date,Open,High,Low,Close,Volume,gain,total_gain
2010,2025-06-30,1475.89,1481.58,1475.32,1477.56,212317981.0,1.6699999999998454,1.6699999999998454
2011,2025-07-01,1477.56,1483.86,1466.97,1476.16,255659150.0,-1.3999999999998636,0.2699999999999818
2012,2025-07-02,1476.16,1482.76,1472.73,1482.76,246295801.0,6.599999999999909,6.869999999999891
2013,2025-07-03,1482.76,1493.99,1478.12,1481.2,423626134.0,-1.5599999999999454,5.309999999999945
2014,2025-07-04,1484.82,1489.54,1477.29,1488.77,260065580.0,7.569999999999936,12.879999999999882
2015,2025-07-07,1496.13,1509.81,1495.55,1508.66,574425644.0,19.8900000000001,32.76999999999998
2016,2025-07-08,1512.72,1529.27,1509.86,1529.27,457501782.0,20.6099999999999,53.37999999999988
2017,2025-07-09,1529.27,1544.67,1529.27,1543.27,617146250.0,14.0,67.37999999999988
2018,2025-07-10,1550.99,1569.39,1548.83,1569.34,426693955.0,26.069999999999936,93.44999999999982
2019,2025-07-11,1578.39,1601.03,1577.45,1594.01,457507582.0,24.670000000000073,118.11999999999989
2020,2025-07-14,1613.34,1616.99,1580.8,1605.66,401939738.0,11.650000000000091,129.76999999999998
2021,2025-07-15,1609.06,1614.13,1593.84,1593.84,449796898.0,-11.820000000000164,117.94999999999982
2022,2025-07-16,1593.84,1614.63,1587.92,1614.42,361868716.0,20.580000000000155,138.52999999999997
2023,2025-07-17,1614.42,1641.97,1614.42,1634.7,426700015.0,20.279999999999973,158.80999999999995
2024,2025-07-18,1634.7,1648.18,1625.83,1643.91,459976817.0,9.210000000000036,168.01999999999998
2025,2025-07-21,1643.91,1663.16,1627.63,1628.06,488738296.0,-15.850000000000136,152.16999999999985
2026,2025-07-22,1628.06,1655.98,1616.16,1655.98,409854761.0,27.920000000000073,180.08999999999992
2027,2025-07-23,1655.98,1669.14,1650.04,1653.01,491743817.0,-2.9700000000000273,177.1199999999999
2028,2025-07-24,1653.01,1663.39,1637.98,1661.23,535686783.0,8.220000000000027,185.33999999999992
2029,2025-07-25,1661.23,1675.26,1655.36,1669.33,427371217.0,8.099999999999909,193.43999999999983
2030,2025-07-28,1676.06,1697.14,1674.27,1695.63,646730982.0,26.300000000000182,219.74
2031,2025-07-29,1698.52,1698.52,1621.29,1621.29,856919789.0,-74.34000000000015,145.39999999999986
2032,2025-07-30,1631.18,1642.67,1606.54,1630.78,616028512.0,9.490000000000009,154.88999999999987
2033,2025-07-31,1630.78,1642.24,1602.17,1615.23,643191514.0,-15.549999999999955,139.33999999999992
2034,2025-08-01,1615.23,1621.64,1599.96,1614.11,506721195.0,-1.1200000000001182,138.2199999999998
2035,2025-08-04,1614.11,1653.22,1607.13,1653.22,544097565.0,39.11000000000013,177.32999999999993
2036,2025-08-05,1676.2,1730.14,1653.5,1690.43,1203324865.0,37.210000000000036,214.53999999999996
2037,2025-08-06,1704.06,1726.58,1695.43,1723.31,561406804.0,32.87999999999988,247.41999999999985
2038,2025-08-07,1723.31,1742.12,1715.54,1734.85,676591868.0,11.539999999999964,258.9599999999998
2039,2025-08-08,1739.47,1739.82,1707.9,1729.08,660062216.0,-5.769999999999982,253.18999999999983
2040,2025-08-11,1733.6,1748.67,1727.06,1741.9,613890055.0,12.820000000000164,266.01
2041,2025-08-12,1741.9,1756.24,1737.42,1755.25,548394737.0,13.349999999999909,279.3599999999999
2042,2025-08-13,1755.25,1764.18,1726.89,1753.71,693406873.0,-1.5399999999999636,277.81999999999994
2043,2025-08-14,1753.71,1793.78,1753.71,1793.78,773223135.0,40.069999999999936,317.8899999999999
2044,2025-08-15,1813.43,1827.89,1774.04,1783.25,812276798.0,-10.529999999999973,307.3599999999999
2045,2025-08-18,1791.84,1797.37,1774.47,1786.37,571119406.0,3.119999999999891,310.4799999999998
2046,2025-08-19,1796.41,1824.81,1790.97,1810.46,708964990.0,24.090000000000146,334.56999999999994
2047,2025-08-20,1810.46,1828.62,1768.9,1828.46,973937626.0,18.0,352.56999999999994
2048,2025-08-21,1840.02,1881.9,1837.23,1874.91,770273427.0,46.450000000000045,399.02
2049,2025-08-22,1865.15,1865.15,1794.97,1814.02,975325024.0,-60.8900000000001,338.1299999999999
2050,2025-08-25,1829.6,1830.92,1774.84,1783.12,714530974.0,-30.90000000000009,307.2299999999998
2051,2025-08-26,1783.12,1849.05,1772.39,1849.05,596072023.0,65.93000000000006,373.15999999999985
2052,2025-08-27,1861.66,1877.27,1843.59,1848.55,670807106.0,-0.5,372.65999999999985
2053,2025-08-28,1848.55,1866.09,1831.79,1861.2,548866274.0,12.650000000000091,385.30999999999995
